,Country Code_y,Country Name,Political model,GDP-2012,GDP -2013,GDP-2014,GDP-2015,GDP-2016,GDP-2017,ICP-2012,ICP-2013,ICP-2014,ICP-2015,ICP-2016,ICP-2017,UG2012,UG2013,UG2014,UG2015,UG2016,UG2017,UG2018,UY2012,UY2013,UY2014,UY2015,UY2016,UY2017,UY2018,2018 score,Status
104,IND,India,Democracy,1.83E+12,1.86E+12,2.04E+12,2.1E+12,2.27E+12,2.6E+12,9.312445605,10.90764331,6.657577823,4.906973441,4.948216341,3.328173375,3.621000051,3.463999987,3.414000034,3.49000001,3.505000114,3.523000002,3.53399992,10.61600018,10.07699966,10.02900028,10.35999966,10.46800041,10.54300022,10.60700035,76.3,1
105,IRL,Ireland,"Capitalism,Democratic socialism,Democracy",2.26E+11,2.39E+11,2.58E+11,2.91E+11,3.05E+11,3.34E+11,1.696208973,0.508714869,0.182542317,-0.289879079,0.008306338,0.340531561,14.67000008,13.03999996,11.26000023,9.399999619,7.889999866,6.399000168,5.979000092,30.40600014,26.71899986,23.78800011,20.72999954,17.06900024,13.61400032,12.57299995,20.7,1
106,IRN,Iran,Dictatorship,5.99E+11,4.67E+11,4.34E+11,3.86E+11,4.19E+11,4.54E+11,25.73656846,39.26602343,17.22132871,13.69920844,8.651257774,9.987184964,12.21000004,10.43999958,10.56999969,11.06000042,12.43000031,12.51599979,12.36900043,27.04500008,23.68499947,24.87899971,25.83799934,28.80699921,29.93600082,29.86499977,84.3,1
107,IRQ,Iraq,Dictatorship,2.18E+11,2.35E+11,2.35E+11,1.77E+11,1.71E+11,1.92E+11,6.089096416,1.879498007,2.235974079,1.393330288,0.525433312,0.184058899,7.960000038,8.06400013,8.203000069,8.086999893,7.90899992,8.161000252,8.234000206,16.01399994,16.31500053,16.61700058,16.41300011,16.14900017,16.74500084,16.92300034,102.2,0
108,ISL,Iceland,"Capitalism,Democratic socialism,Democracy",14292008745,15548321544,17304033021,16942247374,20304098101,23909289979,5.185899888,3.872279237,2.044614815,1.633055582,1.69692762,1.760415592,6,5.380000114,4.900000095,3.980000019,2.980000019,2.75,2.835000038,13.25899982,10.45300007,9.616000175,8.598999977,6.335999966,7.59499979,7.756000042,20.3,1
109,ITA,Italy,Democracy,2.07E+12,2.13E+12,2.15E+12,1.83E+12,1.86E+12,1.93E+12,3.041363332,1.219993423,0.24104743,0.0387904,-0.094016657,1.226533166,10.64999962,12.14999962,12.68000031,11.89999962,11.68999958,11.21000004,10.56599998,35.49300003,40.25600052,42.86700058,40.48699951,37.84999847,34.72600174,32.74599838,43.8,1
110,JOR,Jordan,Capitalism,30937277606,33593843662,35826925775,37517410282,38654727746,40068308451,4.5152,4.824561404,2.898931704,-0.87691336,-0.778579635,3.324392334,12.19999981,12.60000038,11.89999962,13.07499981,15.27499962,14.92199993,14.66899967,30.86899948,32.53699875,31.48200035,33.29399872,38.5,39.76399994,40.57099915,76.8,1
111,JPN,Japan,"Capitalism,Democracy",6.2E+12,5.16E+12,4.85E+12,4.39E+12,4.95E+12,4.87E+12,-0.051939058,0.346440326,2.761954083,0.78951789,-0.116666667,0.467211747,4.349999905,4.03000021,3.579999924,3.329999924,3.130000114,2.829999924,2.444999933,8.090000153,6.822000027,6.284999847,5.513000011,5.153999805,4.618000031,3.960999966,34.5,1
112,KHM,Cambodia,Dictatorship,14054443213,15227991395,16702610842,18049954289,20016747754,22158209503,2.932724618,2.94260016,3.855238553,1.221270061,3.04541464,2.890924692,0.159999996,0.300000012,0.180000007,0.179000005,0.197999999,0.216000006,0.233999997,0.305999994,0.574000001,0.344999999,0.345999986,0.381999999,0.419,0.458000004,84,0
113,KWT,Kuwait,Dictatorship,1.74E+11,1.74E+11,1.63E+11,1.15E+11,1.11E+11,1.2E+11,3.255146003,2.682296841,2.908926729,3.271701661,3.198397767,2.171832985,3.512000084,3.424999952,2.900000095,2.200000048,2.230999947,2.137000084,2.059999943,20.59399986,21.02599907,19.72100067,18.45299911,17.69199944,15.96700001,14.74800014,55.9,0
